game_id,posteam,RushingYards,PassingYards,TotalYards,home_score,away_score,Winner,Win,Q4_RushingYards,Q4_PassingYards,Q4_TotalYards
2023_03_PIT_LV,LV,69,324,393,18,23,PIT,0,23,111,134
2023_03_PIT_LV,PIT,105,235,340,18,23,PIT,1,9,11,20
2023_03_TEN_CLE,CLE,78,289,367,27,3,CLE,1,31,50,81
2023_03_TEN_CLE,TEN,26,104,130,27,3,CLE,0,8,8,16
2023_04_ARI_SF,ARI,105,265,370,35,16,SF,0,14,96,110
2023_04_ARI_SF,SF,124,283,407,35,16,SF,1,49,35,84
2023_04_ATL_JAX,ATL,127,191,318,23,7,JAX,0,18,79,97
2023_04_ATL_JAX,JAX,105,207,312,23,7,JAX,1,38,30,68
2023_04_BAL_CLE,BAL,131,186,317,3,28,BAL,1,8,32,40
2023_04_BAL_CLE,CLE,93,121,214,3,28,BAL,0,71,11,82
2023_04_CIN_TEN,CIN,72,165,237,27,3,TEN,0,19,52,71
2023_04_CIN_TEN,TEN,173,242,415,27,3,TEN,1,45,13,58
2023_04_DEN_CHI,CHI,171,335,506,28,31,DEN,0,95,50,145
2023_04_DEN_CHI,DEN,97,223,320,28,31,DEN,1,11,106,117
2023_04_DET_GB,DET,211,210,421,20,34,DET,1,65,45,110
2023_04_DET_GB,GB,27,246,273,20,34,DET,0,15,75,90
2023_04_KC_NYJ,KC,204,203,407,20,23,KC,1,59,41,100
2023_04_KC_NYJ,NYJ,108,245,353,20,23,KC,0,1,25,26
2023_04_LA_IND,IND,133,200,333,23,29,LA,0,21,118,139
2023_04_LA_IND,LA,164,319,483,23,29,LA,1,15,42,57
2023_04_LV_LAC,LAC,155,167,322,24,17,LAC,1,7,54,61
2023_04_LV_LAC,LV,76,238,314,24,17,LAC,0,23,89,112
2023_04_MIA_BUF,BUF,104,320,424,48,20,BUF,1,31,2,33
2023_04_MIA_BUF,MIA,142,282,424,48,20,BUF,0,78,68,146
2023_04_MIN_CAR,CAR,83,204,287,13,21,MIN,0,39,68,107
2023_04_MIN_CAR,MIN,135,139,274,13,21,MIN,1,15,0,15
2023_04_NE_DAL,DAL,124,281,405,38,3,DAL,1,53,44,97
2023_04_NE_DAL,NE,53,207,260,38,3,DAL,0,9,46,55
2023_04_PIT_HOU,HOU,139,312,451,30,6,HOU,1,33,93,126
2023_04_PIT_HOU,PIT,114,132,246,30,6,HOU,0,21,18,39
2023_04_SEA_NYG,NYG,112,203,315,3,24,SEA,0,29,51,80
2023_04_SEA_NYG,SEA,121,173,294,3,24,SEA,1,49,3,52
2023_04_TB_NO,NO,70,140,210,9,26,TB,0,6,48,54
2023_04_TB_NO,TB,114,246,360,9,26,TB,1,27,70,97
2023_04_WAS_PHI,PHI,104,319,423,34,31,PHI,1,32,49,81
2023_04_WAS_PHI,WAS,107,290,397,34,31,PHI,0,58,106,164
2023_05_BAL_PIT,BAL,125,236,361,17,10,PIT,0,13,33,46
2023_05_BAL_PIT,PIT,87,224,311,17,10,PIT,1,18,104,122
2023_05_CAR_DET,CAR,99,247,346,42,24,DET,0,34,101,135
2023_05_CAR_DET,DET,159,236,395,42,24,DET,1,51,27,78
2023_05_CHI_WAS,CHI,178,282,460,20,40,CHI,1,26,56,82
2023_05_CHI_WAS,WAS,29,388,417,20,40,CHI,0,6,183,189
2023_05_CIN_ARI,ARI,142,166,308,20,34,CIN,0,2,44,46
2023_05_CIN_ARI,CIN,93,317,410,20,34,CIN,1,12,73,85
2023_05_DAL_SF,DAL,57,161,218,42,10,SF,0,23,34,57
2023_05_DAL_SF,SF,170,253,423,42,10,SF,1,56,2,58
2023_05_GB_LV,GB,110,182,292,17,13,LV,0,20,46,66
2023_05_GB_LV,LV,96,208,304,17,13,LV,1,18,22,40
2023_05_HOU_ATL,ATL,96,351,447,21,19,ATL,1,30,118,148
2023_05_HOU_ATL,HOU,64,249,313,21,19,ATL,0,37,46,83
2023_05_JAX_BUF,BUF,29,359,388,20,25,JAX,0,6,181,187
2023_05_JAX_BUF,JAX,196,315,511,20,25,JAX,1,87,62,149
2023_05_KC_MIN,KC,67,281,348,20,27,KC,1,21,17,38
2023_05_KC_MIN,MIN,70,284,354,20,27,KC,0,6,131,137
2023_05_NO_NE,NE,45,132,177,0,34,NO,0,16,22,38
2023_05_NO_NE,NO,136,183,319,0,34,NO,1,20,20,40
2023_05_NYG_MIA,MIA,222,308,530,31,16,MIA,1,11,12,23
2023_05_NYG_MIA,NYG,85,205,290,31,16,MIA,0,16,93,109
2023_05_NYJ_DEN,DEN,139,196,335,21,31,NYJ,0,7,130,137
2023_05_NYJ_DEN,NYJ,234,199,433,21,31,NYJ,1,35,75,110
2023_05_PHI_LA,LA,54,222,276,14,23,PHI,0,11,55,66
2023_05_PHI_LA,PHI,159,303,462,14,23,PHI,1,55,47,102
2023_05_TEN_IND,IND,193,253,446,23,16,IND,1,37,58,95
2023_05_TEN_IND,TEN,89,264,353,23,16,IND,0,27,58,85
2023_06_ARI_LA,ARI,130,235,365,26,9,LA,0,12,118,130
2023_06_ARI_LA,LA,179,226,405,26,9,LA,1,67,40,107
2023_06_BAL_TEN,BAL,139,223,362,16,24,BAL,1,19,53,72
2023_06_BAL_TEN,TEN,129,150,279,16,24,BAL,0,18,74,92
2023_06_CAR_MIA,CAR,108,224,332,42,21,MIA,0,7,39,46
2023_06_CAR_MIA,MIA,162,262,424,42,21,MIA,1,54,11,65
2023_06_DAL_LAC,DAL,96,272,368,17,20,DAL,1,35,111,146
2023_06_DAL_LAC,LAC,53,227,280,17,20,DAL,0,1,26,27
2023_06_DEN_KC,DEN,115,95,210,19,8,KC,0,16,38,54
2023_06_DEN_KC,KC,96,306,402,19,8,KC,1,8,76,84
2023_06_DET_TB,DET,40,353,393,6,20,DET,1,11,81,92
2023_06_DET_TB,TB,46,206,252,6,20,DET,0,0,78,78
2023_06_IND_JAX,IND,44,329,373,37,20,JAX,0,5,114,119
2023_06_IND_JAX,JAX,85,181,266,37,20,JAX,1,-2,21,19
2023_06_MIN_CHI,CHI,162,141,303,13,19,MIN,0,45,71,116
2023_06_MIN_CHI,MIN,46,181,227,13,19,MIN,1,8,13,21
2023_06_NE_LV,LV,84,264,348,21,17,LV,1,9,12,21
2023_06_NE_LV,NE,83,200,283,21,17,LV,0,20,69,89
2023_06_NO_HOU,HOU,120,199,319,20,13,HOU,1,21,17,38
2023_06_NO_HOU,NO,89,357,446,20,13,HOU,0,37,110,147
2023_06_NYG_BUF,BUF,128,169,297,14,9,BUF,1,25,49,74
2023_06_NYG_BUF,NYG,132,200,332,14,9,BUF,0,76,59,135
2023_06_PHI_NYJ,NYJ,89,186,275,20,14,NYJ,1,7,19,26
2023_06_PHI_NYJ,PHI,80,280,360,20,14,NYJ,0,52,54,106
2023_06_SEA_CIN,CIN,46,185,231,17,13,CIN,1,6,16,22
2023_06_SEA_CIN,SEA,87,326,413,17,13,CIN,0,22,129,151
2023_06_SF_CLE,CLE,160,192,352,19,17,CLE,1,62,37,99
2023_06_SF_CLE,SF,108,125,233,19,17,CLE,0,11,52,63
2023_06_WAS_ATL,ATL,106,307,413,16,24,WAS,0,34,106,140
2023_06_WAS_ATL,WAS,72,151,223,16,24,WAS,1,4,18,22
2023_07_ARI_SEA,ARI,127,150,277,20,10,SEA,0,17,72,89
2023_07_ARI_SEA,SEA,115,219,334,20,10,SEA,1,22,12,34
2023_07_ATL_TB,ATL,156,250,406,13,16,ATL,1,61,87,148
2023_07_ATL_TB,TB,73,275,348,13,16,ATL,0,37,71,108
2023_07_BUF_NE,BUF,81,265,346,29,25,NE,0,17,85,102
2023_07_BUF_NE,NE,96,272,368,29,25,NE,1,17,127,144
2023_07_CLE_IND,CLE,150,183,333,38,39,CLE,1,20,95,115
2023_07_CLE_IND,IND,168,305,473,38,39,CLE,0,12,81,93
2023_07_DET_BAL,BAL,146,357,503,38,6,BAL,1,30,14,44
2023_07_DET_BAL,DET,84,284,368,38,6,BAL,0,36,86,122
2023_07_GB_DEN,DEN,145,194,339,19,17,DEN,1,19,28,47
2023_07_GB_DEN,GB,137,194,331,19,17,DEN,0,35,62,97
2023_07_JAX_NO,JAX,113,217,330,24,31,JAX,1,41,49,90
2023_07_JAX_NO,NO,112,301,413,24,31,JAX,0,20,114,134
2023_07_LAC_KC,KC,68,424,492,31,17,KC,1,12,59,71
2023_07_LAC_KC,LAC,139,259,398,31,17,KC,0,6,56,62
2023_07_LV_CHI,CHI,173,162,335,30,12,CHI,1,45,13,58
2023_07_LV_CHI,LV,39,204,243,30,12,CHI,0,-5,83,78
2023_07_MIA_PHI,MIA,45,216,261,31,17,PHI,0,0,44,44
2023_07_MIA_PHI,PHI,99,279,378,31,17,PHI,1,34,59,93
2023_07_PIT_LA,LA,135,231,366,17,24,PIT,0,20,0,20
2023_07_PIT_LA,PIT,86,230,316,17,24,PIT,1,52,138,190
2023_07_SF_MIN,MIN,74,378,452,22,17,MIN,1,8,54,62
2023_07_SF_MIN,SF,65,272,337,22,17,MIN,0,15,58,73
2023_07_WAS_NYG,NYG,106,279,385,14,7,NYG,1,17,49,66
2023_07_WAS_NYG,WAS,76,249,325,14,7,NYG,0,22,70,92
2023_08_ATL_TEN,ATL,140,246,386,28,23,TEN,0,38,60,98
2023_08_ATL_TEN,TEN,149,238,387,28,23,TEN,1,54,50,104
2023_08_BAL_ARI,ARI,129,208,337,24,31,BAL,0,32,148,180
2023_08_BAL_ARI,BAL,130,157,287,24,31,BAL,1,80,5,85
2023_08_CHI_LAC,CHI,73,232,305,30,13,LAC,0,7,67,74
2023_08_CHI_LAC,LAC,54,298,352,30,13,LAC,1,17,44,61
2023_08_CIN_SF,CIN,134,283,417,17,31,CIN,1,36,61,97
2023_08_CIN_SF,SF,113,365,478,17,31,CIN,0,7,177,184
2023_08_CLE_SEA,CLE,155,257,412,24,20,SEA,0,56,9,65
2023_08_CLE_SEA,SEA,114,254,368,24,20,SEA,1,38,67,105
2023_08_HOU_CAR,CAR,44,235,279,15,13,CAR,1,23,55,78
2023_08_HOU_CAR,HOU,110,140,250,15,13,CAR,0,19,16,35
2023_08_JAX_PIT,JAX,106,292,398,10,20,JAX,1,18,75,93
2023_08_JAX_PIT,PIT,70,211,281,10,20,JAX,0,7,78,85
2023_08_KC_DEN,DEN,153,114,267,24,9,DEN,1,37,1,38
2023_08_KC_DEN,KC,62,240,302,24,9,DEN,0,7,51,58
2023_08_LA_DAL,DAL,102,307,409,43,20,DAL,1,3,57,60
2023_08_LA_DAL,LA,92,204,296,43,20,DAL,0,18,42,60
2023_08_LV_DET,DET,222,272,494,26,14,DET,1,56,16,72
2023_08_LV_DET,LV,80,126,206,26,14,DET,0,0,64,64
2023_08_MIN_GB,GB,74,229,303,10,24,MIN,0,24,89,113
2023_08_MIN_GB,MIN,62,297,359,10,24,MIN,1,13,55,68
2023_08_NE_MIA,MIA,78,324,402,31,17,MIA,1,24,51,75
2023_08_NE_MIA,NE,77,161,238,31,17,MIA,0,38,59,97
2023_08_NO_IND,IND,164,213,377,27,38,NO,0,0,86,86
2023_08_NO_IND,NO,161,354,515,27,38,NO,1,58,109,167
2023_08_NYJ_NYG,NYG,203,7,210,10,13,NYJ,0,48,0,48
2023_08_NYJ_NYG,NYJ,58,240,298,10,13,NYJ,1,26,94,120
2023_08_PHI_WAS,PHI,59,319,378,31,38,PHI,1,24,79,103
2023_08_PHI_WAS,WAS,84,397,481,31,38,PHI,0,26,118,144
2023_08_TB_BUF,BUF,115,324,439,24,18,BUF,1,15,44,59
2023_08_TB_BUF,TB,78,237,315,24,18,BUF,0,6,113,119
2023_09_ARI_CLE,ARI,41,58,99,27,0,CLE,0,4,31,35
2023_09_ARI_CLE,CLE,113,219,332,27,0,CLE,1,27,52,79
2023_09_BUF_CIN,BUF,68,258,326,24,18,CIN,0,32,62,94
2023_09_BUF_CIN,CIN,54,348,402,24,18,CIN,1,10,116,126
2023_09_CHI_NO,CHI,156,220,376,24,17,NO,0,1,19,20
2023_09_CHI_NO,NO,87,214,301,24,17,NO,1,45,41,86
2023_09_DAL_PHI,DAL,73,374,447,28,23,PHI,0,12,173,185
2023_09_DAL_PHI,PHI,109,207,316,28,23,PHI,1,11,3,14
2023_09_IND_CAR,CAR,138,173,311,13,27,IND,0,34,91,125
2023_09_IND_CAR,IND,78,127,205,13,27,IND,1,4,4,8
2023_09_LAC_NYJ,LAC,84,136,220,6,27,LAC,1,27,39,66
2023_09_LAC_NYJ,NYJ,64,263,327,6,27,LAC,0,7,102,109
2023_09_LA_GB,GB,184,228,412,20,3,GB,1,72,84,156
2023_09_LA_GB,LA,68,130,198,20,3,GB,0,0,31,31
2023_09_MIA_KC,KC,93,185,278,21,14,KC,1,13,14,27
2023_09_MIA_KC,MIA,117,193,310,21,14,KC,0,55,30,85
2023_09_MIN_ATL,ATL,110,268,378,28,31,MIN,0,73,57,130
2023_09_MIN_ATL,MIN,146,236,382,28,31,MIN,1,47,62,109
2023_09_NYG_LV,LV,125,209,334,30,6,LV,1,22,0,22
2023_09_NYG_LV,NYG,123,200,323,30,6,LV,0,14,104,118
2023_09_SEA_BAL,BAL,298,225,523,37,3,BAL,1,88,38,126
2023_09_SEA_BAL,SEA,28,157,185,37,3,BAL,0,-1,51,50
2023_09_TB_HOU,HOU,43,470,513,39,37,HOU,1,11,142,153
2023_09_TB_HOU,TB,81,265,346,39,37,HOU,0,24,135,159
2023_09_TEN_PIT,PIT,166,160,326,20,16,PIT,1,62,47,109
2023_09_TEN_PIT,TEN,105,262,367,20,16,PIT,0,16,92,108
2023_09_WAS_NE,NE,107,220,327,17,20,WAS,0,9,81,90
2023_09_WAS_NE,WAS,124,325,449,17,20,WAS,1,15,35,50
2023_10_ATL_ARI,ARI,122,249,371,25,23,ARI,1,40,41,81
2023_10_ATL_ARI,ATL,184,94,278,25,23,ARI,0,60,39,99
2023_10_CAR_CHI,CAR,43,185,228,16,13,CHI,0,5,81,86
2023_10_CAR_CHI,CHI,133,162,295,16,13,CHI,1,17,20,37
2023_10_CLE_BAL,BAL,106,223,329,31,33,CLE,0,29,11,40
2023_10_CLE_BAL,CLE,178,213,391,31,33,CLE,1,45,88,133
2023_10_DEN_BUF,BUF,192,177,369,22,24,DEN,0,81,20,101
2023_10_DEN_BUF,DEN,122,193,315,22,24,DEN,1,24,70,94
2023_10_DET_LAC,DET,200,333,533,38,41,DET,1,8,120,128
2023_10_DET_LAC,LAC,98,323,421,38,41,DET,0,15,59,74
2023_10_GB_PIT,GB,116,289,405,23,19,PIT,0,17,118,135
2023_10_GB_PIT,PIT,205,126,331,23,19,PIT,1,95,8,103
2023_10_HOU_CIN,CIN,66,347,413,27,30,HOU,0,15,156,171
2023_10_HOU_CIN,HOU,188,356,544,27,30,HOU,1,74,96,170
2023_10_IND_NE,IND,70,194,264,6,10,IND,1,18,46,64
2023_10_IND_NE,NE,167,195,362,6,10,IND,0,14,81,95
2023_10_NO_MIN,MIN,125,268,393,27,19,MIN,1,14,22,36
2023_10_NO_MIN,NO,65,232,297,27,19,MIN,0,3,88,91
2023_10_NYG_DAL,DAL,168,472,640,49,17,DAL,1,23,68,91
2023_10_NYG_DAL,NYG,111,86,197,49,17,DAL,0,18,44,62
2023_10_NYJ_LV,LV,148,153,301,16,12,LV,1,49,14,63
2023_10_NYJ_LV,NYJ,108,263,371,16,12,LV,0,1,139,140
2023_10_SF_JAX,JAX,59,190,249,3,34,SF,0,1,5,6
2023_10_SF_JAX,SF,144,302,446,3,34,SF,1,53,48,101
2023_10_TEN_TB,TB,77,278,355,20,6,TB,1,27,20,47
2023_10_TEN_TB,TEN,42,199,241,20,6,TB,0,-3,86,83
2023_10_WAS_SEA,SEA,120,369,489,29,26,SEA,1,25,113,138
2023_10_WAS_SEA,WAS,68,312,380,29,26,SEA,0,35,109,144
2023_11_ARI_HOU,ARI,123,214,337,21,16,HOU,0,15,86,101
2023_11_ARI_HOU,HOU,111,338,449,21,16,HOU,1,4,46,50
2023_11_CHI_DET,CHI,183,169,352,31,26,DET,0,69,0,69
2023_11_CHI_DET,DET,115,236,351,31,26,DET,1,32,120,152
2023_11_CIN_BAL,BAL,157,264,421,34,20,BAL,1,54,51,105
2023_11_CIN_BAL,CIN,136,169,305,34,20,BAL,0,52,35,87
2023_11_DAL_CAR,CAR,110,123,233,10,33,DAL,0,0,18,18
2023_11_DAL_CAR,DAL,107,204,311,10,33,DAL,1,51,27,78
2023_11_LAC_GB,GB,102,322,424,23,20,GB,1,14,64,78
2023_11_LAC_GB,LAC,150,260,410,23,20,GB,0,27,133,160
2023_11_LV_MIA,LV,36,271,307,20,13,MIA,0,0,151,151
2023_11_LV_MIA,MIA,99,325,424,20,13,MIA,1,22,12,34
2023_11_MIN_DEN,DEN,46,259,305,21,20,DEN,1,7,90,97
2023_11_MIN_DEN,MIN,175,221,396,21,20,DEN,0,42,42,84
2023_11_NYG_WAS,NYG,91,246,337,19,31,NYG,1,55,31,86
2023_11_NYG_WAS,WAS,174,256,430,19,31,NYG,0,29,106,135
2023_11_NYJ_BUF,BUF,130,275,405,32,6,BUF,1,56,2,58
2023_11_NYJ_BUF,NYJ,63,132,195,32,6,BUF,0,12,24,36
2023_11_PHI_KC,KC,168,177,345,17,21,PHI,0,6,61,67
2023_11_PHI_KC,PHI,114,150,264,17,21,PHI,1,11,81,92
2023_11_PIT_CLE,CLE,96,165,261,13,10,CLE,1,20,55,75
2023_11_PIT_CLE,PIT,172,106,278,13,10,CLE,0,41,53,94
2023_11_SEA_LA,LA,82,190,272,17,16,LA,1,36,108,144
2023_11_SEA_LA,SEA,68,236,304,17,16,LA,0,5,39,44
2023_11_TB_SF,SF,115,333,448,27,14,SF,1,32,18,50
2023_11_TB_SF,TB,66,246,312,27,14,SF,0,9,126,135
2023_11_TEN_JAX,JAX,128,262,390,34,14,JAX,1,30,29,59
2023_11_TEN_JAX,TEN,92,158,250,34,14,JAX,0,23,51,74
2023_12_BAL_LAC,BAL,197,177,374,10,20,BAL,1,73,28,101
2023_12_BAL_LAC,LAC,86,217,303,10,20,BAL,0,42,71,113
2023_12_BUF_PHI,BUF,173,339,512,37,34,PHI,0,44,45,89
2023_12_BUF_PHI,PHI,185,200,385,37,34,PHI,1,18,85,103
2023_12_CAR_TEN,CAR,96,194,290,17,10,TEN,0,26,55,81
2023_12_CAR_TEN,TEN,80,185,265,17,10,TEN,1,34,32,66
2023_12_CHI_MIN,CHI,118,217,335,10,12,CHI,1,30,62,92
2023_12_CHI_MIN,MIN,73,185,258,10,12,CHI,0,13,97,110
2023_12_CLE_DEN,CLE,107,190,297,29,12,DEN,0,3,56,59
2023_12_CLE_DEN,DEN,169,134,303,29,12,DEN,1,23,42,65
2023_12_GB_DET,DET,140,332,472,22,29,GB,0,19,164,183
2023_12_GB_DET,GB,109,268,377,22,29,GB,1,46,18,64
2023_12_JAX_HOU,HOU,91,304,395,21,24,JAX,0,31,114,145
2023_12_JAX_HOU,JAX,81,364,445,21,24,JAX,1,35,33,68
2023_12_KC_LV,KC,69,298,367,17,31,KC,1,14,81,95
2023_12_KC_LV,LV,123,248,371,17,31,KC,0,4,56,60
2023_12_LA_ARI,ARI,73,256,329,14,37,LA,0,18,126,144
2023_12_LA_ARI,LA,228,229,457,14,37,LA,1,52,9,61
2023_12_MIA_NYJ,MIA,167,243,410,13,34,MIA,1,73,0,73
2023_12_MIA_NYJ,NYJ,29,179,208,13,34,MIA,0,6,136,142
2023_12_NE_NYG,NE,147,143,290,10,7,NYG,0,45,9,54
2023_12_NE_NYG,NYG,58,191,249,10,7,NYG,1,10,25,35
2023_12_NO_ATL,ATL,228,168,396,24,15,ATL,1,80,73,153
2023_12_NO_ATL,NO,148,304,452,24,15,ATL,0,44,60,104
2023_12_PIT_CIN,CIN,25,227,252,10,16,PIT,0,0,68,68
2023_12_PIT_CIN,PIT,153,278,431,10,16,PIT,1,40,81,121
2023_12_SF_SEA,SEA,88,180,268,13,31,SF,0,15,57,72
2023_12_SF_SEA,SF,169,209,378,13,31,SF,1,47,58,105
2023_12_TB_IND,IND,155,251,406,27,20,IND,1,48,61,109
2023_12_TB_IND,TB,125,199,324,27,20,IND,0,44,87,131
2023_12_WAS_DAL,DAL,100,331,431,45,10,DAL,1,38,58,96
2023_12_WAS_DAL,WAS,108,300,408,45,10,DAL,0,33,88,121
2023_13_ARI_PIT,ARI,150,145,295,10,24,ARI,1,69,41,110
2023_13_ARI_PIT,PIT,130,187,317,10,24,ARI,0,10,65,75
2023_13_ATL_NYJ,ATL,90,121,211,8,13,ATL,1,20,10,30
2023_13_ATL_NYJ,NYJ,62,214,276,8,13,ATL,0,5,66,71
2023_13_CAR_TB,CAR,133,178,311,21,18,TB,0,26,55,81
